,ini_speed,angles,x_range,max_height,time_flight
0,4,15,1.4325125563282204,0.35440962691109107,0.37473145114147766
1,4,16,1.4616951766441633,0.361695063690317,0.38430874720897157
2,4,17,1.4904016319095306,0.36939643732452165,0.3939772759662706
3,4,18,1.5185606859832572,0.3775041153850281,0.40372752786957034
4,4,19,1.5461017845078682,0.3860079871943827,0.41354999453918045
5,4,20,1.5729553124977262,0.3948974765562534,0.4234352032984089
6,4,21,1.5990528292373793,0.40416155497577816,0.43337375049124016
7,4,22,1.624327280717148,0.4137887553532143,0.4433563292454633
8,4,23,1.6487131902328809,0.42376718613353265,0.4533737535747151
9,4,24,1.6721468280846785,0.4340845458944088,0.46341697876280014
10,4,25,1.69456637341443,0.44472813835489255,0.4734771216588635
11,4,26,1.7159120015497344,0.45568488778688643,0.4835454619657037
12,4,27,1.7361260605880742,0.46694135481143006,0.493613470637179
13,4,28,1.7551531312583584,0.4784837525616705,0.5036728072406828
14,4,29,1.772940134189244,0.49029796319429264,0.5137153286178517
15,4,30,1.7894363515313862,0.502369554731096,0.5237330929704521
16,4,31,1.804593558384439,0.5146837982123252,0.5337183622320916
17,4,32,1.8183660280106864,0.527225687439952,0.5436636029748048
18,4,33,1.8307105834115853,0.5399799483371909,0.5535614860787085
19,4,34,1.841586630158528,0.552931068494369,0.5634048853713414
20,4,35,1.8509561820664349,0.566063308220565,0.573186875421802
21,4,36,1.8587838805544925,0.5793607206566768,0.5829007286539158
22,4,37,1.865037008444482,0.5928071704138576,0.5925399119227803
23,4,38,1.8696854988585017,0.6063863523942807,0.6020980826804837
24,4,39,1.872701939795248,0.6200818107756085,0.6115690848396604
25,4,40,1.8740615748880847,0.6338769581405552,0.620946944427962
26,4,41,1.8737423007789553,0.6477550947329105,0.6302258651124643
27,4,42,1.8717246722878607,0.6616994278213972,0.6394002274140188
28,4,43,1.8679918537077458,0.6756930911527383,0.6484645702169536
29,4,44,1.862529664999652,0.6897191644752894,0.6574136058539142
30,4,45,1.8553265329360948,0.7037606931146163,0.666242203368108
31,4,46,1.846373484626744,0.7178007075823765,0.6749453870965205
32,4,47,1.8356641306596637,0.7318222431998747,0.6835183324704296
33,4,48,1.8231946464949667,0.7458083597176521,0.6919563619624142
34,4,49,1.8089637522084514,0.7597421609124752,0.7002549411933614
35,4,50,1.792972690661398,0.7736068141430708,0.7084096752091186
36,4,51,1.7752252041544525,0.7873855698459651,0.7164163049331803
37,4,52,1.7557275096080716,0.8010617809527536,0.7242707037990996
38,5,15,1.9627828885079448,0.3848250930475649,0.4123453002684359
39,5,16,2.012284105832415,0.39616974393845517,0.4249600218935124
40,5,17,2.0611239714455114,0.40815968189551766,0.4376988659642497
41,5,18,2.10917313140336,0.420779699152868,0.45054662882817714
42,5,19,2.1563049336993716,0.43401386117137164,0.46348837114254376
43,5,20,2.2023958563705257,0.44784552697722735,0.47650946836034364
44,5,21,2.24732586442001,0.4622573701760899,0.48959565145776096
45,5,22,2.2909787302875073,0.4772314006152888,0.5027330372437055
46,5,23,2.333242165305671,0.4927489866667707,0.5159081497921633
47,5,24,2.3740081616228537,0.5087908781034871,0.5291079367917961
48,5,25,2.413173000936411,0.5253372295420697,0.5423197674645309
49,5,26,2.4506374382509715,0.5423676244247765,0.5555314475214367
50,5,27,2.4863067391019844,0.5598610995138559,0.568731208574109
51,5,28,2.5200907350976745,0.5777961698716473,0.58190770403081
52,5,29,2.551903849540677,0.5961508564708278,0.5950500003385463
53,5,30,2.581665105575532,0.6149027042387196,0.6081475661361666
54,5,31,2.609298120300214,0.6340288190910008,0.6211902598829934
55,5,32,2.6347310877598953,0.6535058879725264,0.6341683164365935
56,5,33,2.6578967532715483,0.6733102074180293,0.6470723329718104
57,5,34,2.6787323811109984,0.6934177109026076,0.6598932545612908
58,5,35,2.6971797172289826,0.7138039964977239,0.6726223596753012
59,5,36,2.7131849483469144,0.7344443548077726,0.6852512481213505
60,5,37,2.726698658512775,0.7553137971624567,0.6977718183013949
61,5,38,2.7376757839685606,0.7763870840404257,0.7101762657138192
62,5,39,2.7460755669881416,0.7976387536997696,0.7224570620763537
63,5,40,2.7518615836060376,0.8190431509911533,0.7346069477182712
64,5,41,2.75500141661784,0.8405744563294963,0.7466189076556392
65,5,42,2.7554670063466022,0.8622067148002446,0.7584861767770821
66,5,43,2.7532343524563974,0.8839138653763912,0.7702022186615636
67,5,44,2.7482835277675113,0.9056697702224872,0.7817607178691096
68,5,45,2.7405986325171545,0.9274482440619496,0.7931555704076929
69,5,46,2.7301677490131677,0.9492230835840434,0.8043808748119348
70,5,47,2.716982896639598,0.9709680968669161,0.8154309238152257
71,5,48,2.7010399871454913,0.9926571327930909,0.8263001965936212
72,5,49,2.682338780127206,1.0142641104337822,0.8369833515576798
73,5,50,2.6608828385987984,1.0357630555676032,0.8474752222722898
74,5,51,2.6366794845337123,1.057128103314979,0.8577708015217278
75,5,52,2.6097397542528817,1.078333564597772,0.8678652493610054
76,6,15,2.5688096154246036,0.42181628312549696,0.45171750792610005
77,6,16,2.644227593016595,0.43808489874716516,0.4675097654927057
78,6,17,2.7187016059823272,0.4552747318200043,0.4834510028615101
79,6,18,2.79202513570488,0.4733636181211255,0.49951951384221494
80,6,19,2.863998710812309,0.4923283826538058,0.5156943602651664
81,6,20,2.934430457663364,0.512144869603168,0.531955412210556
82,6,21,3.0031363336612587,0.5327879731089384,0.5482833686067609
83,6,22,3.0699403257163382,0.5542316688156347,0.5646597619118123
84,6,23,3.1346745502838194,0.576449046161278,0.5810669524817536
